"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
1.940109363E2,6.500767833E1,2.546255667E1,1.113479032E1,1.286805511E0,2.481199951E2,1.799999952E0,1.589999962E1
1.950109363E2,6.500767500E1,2.546253333E1,1.093479005E1,1.289379120E0,2.519400024E2,1.799999952E0,1.629999924E1
1.960109363E2,6.500767167E1,2.546251167E1,1.073478990E1,1.213714957E0,2.557299957E2,1.799999952E0,1.560000038E1
1.970109363E2,6.500767000E1,2.546247667E1,1.053478821E1,1.184375882E0,2.559600067E2,1.700000048E0,1.610000038E1
1.980109363E2,6.500766667E1,2.546244500E1,1.033478739E1,1.194670320E0,2.567300110E2,1.700000048E0,1.560000038E1
1.990109363E2,6.500766333E1,2.546241167E1,1.013478646E1,1.184890509E0,2.564899902E2,1.700000048E0,1.489999962E1
2.000109363E2,6.500766000E1,2.546238000E1,1.003478564E1,1.142168641E0,2.553399963E2,1.700000048E0,1.550000000E1
2.010109363E2,6.500765667E1,2.546234667E1,9.834784709E0,1.112314701E0,2.567900085E2,1.700000048E0,1.600000000E1
2.020109363E2,6.500765500E1,2.546231000E1,9.534782914E0,1.181802273E0,2.563599854E2,1.700000048E0,1.600000000E1
2.030109363E2,6.500765333E1,2.546227167E1,9.434781007E0,1.246142507E0,2.602000122E2,1.700000048E0,1.580000019E1
2.040109363E2,6.500765000E1,2.546223167E1,9.134779634E0,1.248716116E0,2.600100098E2,1.700000048E0,1.639999962E1
2.050109363E2,6.500764833E1,2.546220000E1,9.034778171E0,1.240480542E0,2.620000000E2,1.700000048E0,1.629999924E1
2.060109363E2,6.500764667E1,2.546217167E1,8.834776930E0,1.265187263E0,2.620000000E2,1.700000048E0,1.620000076E1
2.070109363E2,6.500764333E1,2.546214167E1,8.634776222E0,1.275996447E0,2.620000000E2,1.700000048E0,1.589999962E1
2.080109363E2,6.500764167E1,2.546211167E1,8.334774870E0,1.256951690E0,2.620000000E2,1.700000048E0,1.569999981E1
2.090109363E2,6.500764000E1,2.546208167E1,8.134773519E0,1.282687783E0,2.620000000E2,1.700000048E0,1.550000000E1
2.100109363E2,6.500763833E1,2.546204667E1,8.034771835E0,1.289893866E0,2.620000000E2,1.700000048E0,1.620000076E1
2.110109363E2,6.500763667E1,2.546202167E1,7.734770816E0,1.287320256E0,2.620000000E2,1.700000048E0,1.700000000E1
2.120109363E2,6.500763500E1,2.546199500E1,7.534769687E0,1.236877441E0,2.620000000E2,1.700000048E0,1.800000000E1
2.130109363E2,6.500763333E1,2.546197167E1,7.234768779E0,1.167904735E0,2.620000000E2,1.700000048E0,1.839999962E1
2.140109363E2,6.500763333E1,2.546195333E1,6.934767560E0,1.138050795E0,2.620000000E2,1.700000048E0,1.889999962E1
2.150109363E2,6.500763167E1,2.546192667E1,6.634766430E0,1.093269944E0,2.620000000E2,1.700000048E0,1.750000000E1
2.160109363E2,6.500763000E1,2.546190500E1,6.234765634E0,1.085549116E0,2.620000000E2,1.700000048E0,1.770000076E1
2.170109363E2,6.500762833E1,2.546187667E1,6.034764393E0,1.041283011E0,2.620000000E2,1.799999952E0,1.820000076E1
